"city_key","city_name","incident_code","incident_date","incident_latitude","incident_longitude","incident_address","incident_source_original_type","incident_offense_code","incident_offense","incident_offense_description","incident_offense_detail_description","incident_offense_crime_against","incident_offense_action"
"SFO","San Francisco","103575828160","06-01-2021 00:01:00","37.7869397","-122.4115158","GEARY ST \ TAYLOR ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at GEARY ST \ TAYLOR ST","Property","C"
"SFO","San Francisco","103569128160","06-01-2021 00:04:00","37.7356046","-122.4167596","ANDOVER ST \ RICHLAND AVE","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at ANDOVER ST \ RICHLAND AVE","Property","C"
"SFO","San Francisco","103569106231","06-01-2021 00:04:00","37.7356046","-122.4167596","ANDOVER ST \ RICHLAND AVE","Larceny - Auto Parts","23G","Larceny/Theft Offenses","Theft of Motor Vehicle Parts or Accessories","Theft of Motor Vehicle Parts or Accessories at ANDOVER ST \ RICHLAND AVE","Property","C"
"SFO","San Francisco","103569205051","06-01-2021 00:05:00","37.7811602","-122.4610629","03RD AVE \ GEARY BLVD","Burglary - Commercial","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at 03RD AVE \ GEARY BLVD","Property","C"
"SFO","San Francisco","103949106244","06-01-2021 00:05:00","37.730936","-122.3738904","ARELIOUS WALKER DR \ INNES AVE","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at ARELIOUS WALKER DR \ INNES AVE","Property","C"
"SFO","San Francisco","103597312080","06-01-2021 00:16:00","37.7570354","-122.4189011","MISSION ST \ 21ST ST","Weapons Offense","520","Weapon Law Violations","Weapon Law Violations","Weapon Law Violations at MISSION ST \ 21ST ST","Society","C"
"SFO","San Francisco","103570712080","06-01-2021 00:16:00","37.7570354","-122.4189011","MISSION ST \ 21ST ST","Weapons Offense","520","Weapon Law Violations","Weapon Law Violations","Weapon Law Violations at MISSION ST \ 21ST ST","Society","C"
"SFO","San Francisco","103570306233","06-01-2021 00:17:00","37.7796953","-122.456497","ANZA ST \ ROSSI AVE","Larceny - Auto Parts","23G","Larceny/Theft Offenses","Theft of Motor Vehicle Parts or Accessories","Theft of Motor Vehicle Parts or Accessories at ANZA ST \ ROSSI AVE","Property","C"
"SFO","San Francisco","103570307100","06-01-2021 00:17:00","37.7796953","-122.456497","ANZA ST \ ROSSI AVE","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at ANZA ST \ ROSSI AVE","Property","C"
"SFO","San Francisco","103568707041","06-01-2021 00:19:00","37.7727329","-122.3936532","EL DORADO ST NORTH \ CHANNEL \ EL DORADO ST","Recovered Vehicle","90Z","All Other Offenses","All Other Offenses","All Other Offenses at EL DORADO ST NORTH \ CHANNEL \ EL DORADO ST","Person, Property, or Society","C"
"SFO","San Francisco","103574105153","06-01-2021 00:21:00","37.79305","-122.4228713","VAN NESS AVE \ WASHINGTON ST","Burglary - Other","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at VAN NESS AVE \ WASHINGTON ST","Property","C"
"SFO","San Francisco","103718306244","06-01-2021 00:30:00","37.7767596","-122.4313845","FILLMORE ST \ GROVE ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at FILLMORE ST \ GROVE ST","Property","C"
"SFO","San Francisco","103648105073","06-01-2021 00:30:00","37.79305","-122.4228713","VAN NESS AVE \ WASHINGTON ST","Burglary - Other","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at VAN NESS AVE \ WASHINGTON ST","Property","C"
"SFO","San Francisco","103570865010","06-01-2021 00:40:00","37.7632997","-122.4217316","VALENCIA ST \ 17TH ST","Traffic Violation Arrest","90Z","All Other Offenses","All Other Offenses","All Other Offenses at VALENCIA ST \ 17TH ST","Person, Property, or Society","C"
"SFO","San Francisco","103570865015","06-01-2021 00:40:00","37.7632997","-122.4217316","VALENCIA ST \ 17TH ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at VALENCIA ST \ 17TH ST","Person, Property, or Society","C"
"SFO","San Francisco","103569407021","06-01-2021 00:44:00","37.7859826","-122.4797857","20TH AVE \ LAKE ST","Motor Vehicle Theft","240","Motor Vehicle Theft","Motor Vehicle Theft","Motor Vehicle Theft at 20TH AVE \ LAKE ST","Property","C"
"SFO","San Francisco","103746306244","06-01-2021 01:00:00","37.7796953","-122.456497","ANZA ST \ ROSSI AVE","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at ANZA ST \ ROSSI AVE","Property","C"
"SFO","San Francisco","103570665015","06-01-2021 01:00:00","37.7650513","-122.419669","16TH ST \ MISSION ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 16TH ST \ MISSION ST","Person, Property, or Society","C"
"SFO","San Francisco","103570665010","06-01-2021 01:00:00","37.7650513","-122.419669","16TH ST \ MISSION ST","Traffic Violation Arrest","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 16TH ST \ MISSION ST","Person, Property, or Society","C"
"SFO","San Francisco","103570565015","06-01-2021 01:14:00","37.7240356","-122.4021084","SAN BRUNO AVE \ DWIGHT ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at SAN BRUNO AVE \ DWIGHT ST","Person, Property, or Society","C"
"SFO","San Francisco","103570565010","06-01-2021 01:14:00","37.7240356","-122.4021084","SAN BRUNO AVE \ DWIGHT ST","Traffic Violation Arrest","90Z","All Other Offenses","All Other Offenses","All Other Offenses at SAN BRUNO AVE \ DWIGHT ST","Person, Property, or Society","C"
"SFO","San Francisco","103646728150","06-01-2021 01:45:00","37.7706298","-122.41248","11TH ST \ HARRISON ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at 11TH ST \ HARRISON ST","Property","C"
"SFO","San Francisco","103577005151","06-01-2021 01:53:00","37.7798285","-122.4028407","SHIPLEY ST \ 05TH ST","Burglary - Other","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at SHIPLEY ST \ 05TH ST","Property","C"
"SFO","San Francisco","103681506244","06-01-2021 02:00:00","37.7353698","-122.4247026","MISSION ST \ COLLEGE AVE \ CRESCENT AVE","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at MISSION ST \ COLLEGE AVE \ CRESCENT AVE","Property","C"
"SFO","San Francisco","103571005042","06-01-2021 02:06:00","37.7789457","-122.4673541","ANZA ST \ 09TH AVE","Burglary - Residential","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at ANZA ST \ 09TH AVE","Property","C"
"SFO","San Francisco","103570928161","06-01-2021 02:12:00","37.7346384","-122.4118261","CRESCENT AVE \ NEVADA ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at CRESCENT AVE \ NEVADA ST","Property","C"
"SFO","San Francisco","103645628150","06-01-2021 03:00:00","37.7772998","-122.4196936","VAN NESS AVE \ HAYES ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at VAN NESS AVE \ HAYES ST","Property","C"
"SFO","San Francisco","103571505081","06-01-2021 03:15:00","37.7646861","-122.4944025","LINCOLN WAY \ 35TH AVE","Burglary - Hot Prowl","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at LINCOLN WAY \ 35TH AVE","Property","C"
"SFO","San Francisco","103571716710","06-01-2021 03:51:00","37.780699","-122.4039209","05TH ST \ CLEMENTINA ST","Drug Violation","35A","Drug/Narcotic Offenses","Drug/Narcotic Violations","Drug/Narcotic Violations at 05TH ST \ CLEMENTINA ST","Society","C"
"SFO","San Francisco","103571762050","06-01-2021 03:51:00","37.780699","-122.4039209","05TH ST \ CLEMENTINA ST","Warrant","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 05TH ST \ CLEMENTINA ST","Person, Property, or Society","C"
"SFO","San Francisco","103571709027","06-01-2021 03:51:00","37.780699","-122.4039209","05TH ST \ CLEMENTINA ST","Fraud","26A","Fraud Offenses","False Pretenses/Swindle/Confidence Game","False Pretenses/Swindle/Confidence Game at 05TH ST \ CLEMENTINA ST","Property","C"
"SFO","San Francisco","103572851040","06-01-2021 04:00:00","37.7846571","-122.4144302","ELLIS ST \ LEAVENWORTH ST","Non-Criminal","90Z","All Other Offenses","All Other Offenses","All Other Offenses at ELLIS ST \ LEAVENWORTH ST","Person, Property, or Society","C"
"SFO","San Francisco","103572005052","06-01-2021 04:25:00","37.7721082","-122.430434","FILLMORE ST \ HAIGHT ST","Burglary - Commercial","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at FILLMORE ST \ HAIGHT ST","Property","C"
"SFO","San Francisco","103576428160","06-01-2021 04:30:00","37.7650021","-122.4204825","16TH ST \ WIESE ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at 16TH ST \ WIESE ST","Property","C"
"SFO","San Francisco","103583006234","06-01-2021 04:48:00","37.7455508","-122.5038132","45TH AVE \ RIVERA ST","Larceny - Auto Parts","23G","Larceny/Theft Offenses","Theft of Motor Vehicle Parts or Accessories","Theft of Motor Vehicle Parts or Accessories at 45TH AVE \ RIVERA ST","Property","C"
"SFO","San Francisco","103573205151","06-01-2021 04:56:00","37.7511532","-122.4362988","24TH ST \ DIAMOND ST","Burglary - Other","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at 24TH ST \ DIAMOND ST","Property","C"
"SFO","San Francisco","103572564080","06-01-2021 05:45:00","37.800943","-122.4076455","NOBLES ALY \ GRANT AVE","Suspicious Occ","N/A","Suspicious Activity","Suspicious Activity/All Other","Suspicious Activity/All Other at NOBLES ALY \ GRANT AVE","Society","C"
"SFO","San Francisco","103572551040","06-01-2021 05:45:00","37.800943","-122.4076455","NOBLES ALY \ GRANT AVE","Non-Criminal","90Z","All Other Offenses","All Other Offenses","All Other Offenses at NOBLES ALY \ GRANT AVE","Person, Property, or Society","C"
"SFO","San Francisco","103598305051","06-01-2021 05:59:00","37.7245877","-122.4348704","MISSION ST \ NORTON ST","Burglary - Commercial","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at MISSION ST \ NORTON ST","Property","C"
"SFO","San Francisco","103574005051","06-01-2021 05:59:00","37.7245877","-122.4348704","MISSION ST \ NORTON ST","Burglary - Commercial","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at MISSION ST \ NORTON ST","Property","C"
"SFO","San Francisco","104332971000","06-01-2021 06:00:00","37.7728309","-122.3913736","04TH ST \ MISSION ROCK ST","Lost Property","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 04TH ST \ MISSION ROCK ST","Person, Property, or Society","C"
"SFO","San Francisco","103645206313","06-01-2021 06:00:00","37.7728309","-122.3913736","04TH ST \ MISSION ROCK ST","Larceny Theft - Bicycle","23H","Larceny/Theft Offenses","All Other Larceny","All Other Larceny at 04TH ST \ MISSION ROCK ST","Property","C"
"SFO","San Francisco","103573906242","06-01-2021 06:28:00","37.7844527","-122.4084932","EDDY ST \ CYRIL MAGNIN ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at EDDY ST \ CYRIL MAGNIN ST","Property","C"
"SFO","San Francisco","103573904014","06-01-2021 06:28:00","37.7844527","-122.4084932","EDDY ST \ CYRIL MAGNIN ST","Aggravated Assault","13A","Assault Offenses","Aggravated Assault","Aggravated Assault at EDDY ST \ CYRIL MAGNIN ST","Person","C"
"SFO","San Francisco","103573964085","06-01-2021 06:28:00","37.7844527","-122.4084932","EDDY ST \ CYRIL MAGNIN ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at EDDY ST \ CYRIL MAGNIN ST","Person, Property, or Society","C"
"SFO","San Francisco","103573564020","06-01-2021 06:30:00","37.7738563","-122.4052859","BRYANT ST \ LANGTON ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at BRYANT ST \ LANGTON ST","Person, Property, or Society","C"
"SFO","San Francisco","103947206244","06-01-2021 06:30:00","37.7603614","-122.3914176","20TH ST \ INDIANA ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at 20TH ST \ INDIANA ST","Property","C"
"SFO","San Francisco","103591806224","06-01-2021 06:41:00","37.746492","-122.4203577","TIFFANY AVE \ DUNCAN ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at TIFFANY AVE \ DUNCAN ST","Property","C"
"SFO","San Francisco","103573326170","06-01-2021 06:45:00","37.7820242","-122.4011598","04TH ST \ FOLSOM ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 04TH ST \ FOLSOM ST","Person, Property, or Society","C"
"SFO","San Francisco","103573019057","06-01-2021 06:45:00","37.7242706","-122.4622764","ASHTON AVE \ PICO AVE","Intimidation","13C","Assault Offenses","Intimidation","Intimidation at ASHTON AVE \ PICO AVE","Person","C"
"SFO","San Francisco","103573328160","06-01-2021 06:45:00","37.7820242","-122.4011598","04TH ST \ FOLSOM ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at 04TH ST \ FOLSOM ST","Property","C"
"SFO","San Francisco","103573327170","06-01-2021 06:45:00","37.7820242","-122.4011598","04TH ST \ FOLSOM ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 04TH ST \ FOLSOM ST","Person, Property, or Society","C"
"SFO","San Francisco","103573015155","06-01-2021 06:45:00","37.7242706","-122.4622764","ASHTON AVE \ PICO AVE","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at ASHTON AVE \ PICO AVE","Person, Property, or Society","C"
"SFO","San Francisco","104396406244","06-01-2021 07:00:00","37.772569","-122.4841943","25TH AVE \ CROSSOVER DR \ FULTON ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at 25TH AVE \ CROSSOVER DR \ FULTON ST","Property","C"
"SFO","San Francisco","103948406244","06-01-2021 07:00:00","37.7230361","-122.3983482","EXETER ST \ PAUL AVE","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at EXETER ST \ PAUL AVE","Property","C"
"SFO","San Francisco","103950406372","06-01-2021 07:00:00","37.7841065","-122.4413486","POST ST \ BRODERICK ST","Larceny Theft - Other","23H","Larceny/Theft Offenses","All Other Larceny","All Other Larceny at POST ST \ BRODERICK ST","Property","C"
"SFO","San Francisco","103577706303","06-01-2021 07:00:00","37.7150113","-122.472991","FONT BLVD \ CHUMASERO DR","Larceny Theft - From Building","23D","Larceny/Theft Offenses","Theft From Building","Theft From Building at FONT BLVD \ CHUMASERO DR","Property","C"
"SFO","San Francisco","103574307041","06-01-2021 07:43:00","37.7520178","-122.4013644","25TH ST \ RHODE ISLAND ST","Recovered Vehicle","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 25TH ST \ RHODE ISLAND ST","Person, Property, or Society","C"
"SFO","San Francisco","103574507041","06-01-2021 07:51:00","37.7401908","-122.4980591","ULLOA ST \ 40TH AVE","Recovered Vehicle","90Z","All Other Offenses","All Other Offenses","All Other Offenses at ULLOA ST \ 40TH AVE","Person, Property, or Society","C"
"SFO","San Francisco","103588607021","06-01-2021 08:00:00","37.7552947","-122.4209641","VALENCIA ST \ 22ND ST","Motor Vehicle Theft","240","Motor Vehicle Theft","Motor Vehicle Theft","Motor Vehicle Theft at VALENCIA ST \ 22ND ST","Property","C"
"SFO","San Francisco","104357328150","06-01-2021 08:00:00","37.7660746","-122.402685","16TH ST \ RHODE ISLAND ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at 16TH ST \ RHODE ISLAND ST","Property","C"
"SFO","San Francisco","104563461030","06-01-2021 08:00:00","37.7812188","-122.4339732","STEINER ST \ EDDY ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at STEINER ST \ EDDY ST","Person, Property, or Society","C"
"SFO","San Francisco","103878605042","06-01-2021 08:00:00","37.7376435","-122.4884188","31ST AVE \ ESCOLTA WAY","Burglary - Residential","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at 31ST AVE \ ESCOLTA WAY","Property","C"
"SFO","San Francisco","104674606314","06-01-2021 08:00:00","37.7893692","-122.3918583","FOLSOM ST \ MAIN ST","Larceny Theft - Bicycle","23H","Larceny/Theft Offenses","All Other Larceny","All Other Larceny at FOLSOM ST \ MAIN ST","Property","C"
"SFO","San Francisco","104003606372","06-01-2021 08:02:00","37.7685373","-122.4156138","FOLSOM ST \ 14TH ST","Larceny Theft - Other","23H","Larceny/Theft Offenses","All Other Larceny","All Other Larceny at FOLSOM ST \ 14TH ST","Property","C"
"SFO","San Francisco","103629406373","06-01-2021 08:15:00","37.7807731","-122.418709","POLK ST \ REDWOOD ST","Larceny Theft - Other","23H","Larceny/Theft Offenses","All Other Larceny","All Other Larceny at POLK ST \ REDWOOD ST","Property","C"
"SFO","San Francisco","103576219057","06-01-2021 08:45:00","37.7707477","-122.4248526","GUERRERO ST \ LAGUNA ST \ MARKET ST","Intimidation","13C","Assault Offenses","Intimidation","Intimidation at GUERRERO ST \ LAGUNA ST \ MARKET ST","Person","C"
"SFO","San Francisco","103576627195","06-01-2021 08:50:00","37.7740308","-122.3955767","BERRY ST \ 05TH ST","Trespass","90J","Trespass of Real Property","Trespass of Real Property","Trespass of Real Property at BERRY ST \ 05TH ST","Society","C"
"SFO","San Francisco","103576664085","06-01-2021 08:50:00","37.7740308","-122.3955767","BERRY ST \ 05TH ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at BERRY ST \ 05TH ST","Person, Property, or Society","C"
"SFO","San Francisco","103575615161","06-01-2021 09:00:00","37.7349769","-122.383134","WESTBROOK CT \ HUDSON AVE","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at WESTBROOK CT \ HUDSON AVE","Person, Property, or Society","C"
"SFO","San Francisco","104880106374","06-01-2021 09:00:00","37.7915308","-122.4107556","MASON ST \ NOB HILL PL","Larceny Theft - Other","23H","Larceny/Theft Offenses","All Other Larceny","All Other Larceny at MASON ST \ NOB HILL PL","Property","C"
"SFO","San Francisco","103779428150","06-01-2021 09:00:00","37.7815772","-122.4945198","34TH AVE \ CLEMENT ST \ LEGION OF HONOR DR","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at 34TH AVE \ CLEMENT ST \ LEGION OF HONOR DR","Property","C"
"SFO","San Francisco","104904406374","06-01-2021 09:00:00","37.7915308","-122.4107556","MASON ST \ NOB HILL PL","Larceny Theft - Other","23H","Larceny/Theft Offenses","All Other Larceny","All Other Larceny at MASON ST \ NOB HILL PL","Property","C"
"SFO","San Francisco","103575615152","06-01-2021 09:00:00","37.7349769","-122.383134","WESTBROOK CT \ HUDSON AVE","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at WESTBROOK CT \ HUDSON AVE","Person, Property, or Society","C"
"SFO","San Francisco","103578668020","06-01-2021 09:29:00","37.7797953","-122.4911671","GEARY BLVD \ 31ST AVE","Miscellaneous Investigation","90Z","All Other Offenses","All Other Offenses","All Other Offenses at GEARY BLVD \ 31ST AVE","Person, Property, or Society","C"
"SFO","San Francisco","103591605153","06-01-2021 09:35:00","37.7830874","-122.4612075","03RD AVE \ CLEMENT ST","Burglary - Other","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at 03RD AVE \ CLEMENT ST","Property","C"
"SFO","San Francisco","104449075000","06-01-2021 09:56:00","37.7734669","-122.3914344","04TH ST \ LONG BRIDGE ST","Missing Person","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 04TH ST \ LONG BRIDGE ST","Person, Property, or Society","C"
"SFO","San Francisco","104636509015","06-01-2021 10:00:00","37.7915308","-122.4107556","MASON ST \ NOB HILL PL","Forgery And Counterfeiting","250","Counterfeiting/Forgery","Counterfeiting/Forgery","Counterfeiting/Forgery at MASON ST \ NOB HILL PL","Property","C"
"SFO","San Francisco","104759064070","06-01-2021 10:00:00","37.7751608","-122.4036356","BOARDMAN PL \ BRYANT ST","Suspicious Occ","N/A","Suspicious Activity","Suspicious Activity/All Other","Suspicious Activity/All Other at BOARDMAN PL \ BRYANT ST","Society","C"
"SFO","San Francisco","104636564070","06-01-2021 10:00:00","37.7915308","-122.4107556","MASON ST \ NOB HILL PL","Suspicious Occ","N/A","Suspicious Activity","Suspicious Activity/All Other","Suspicious Activity/All Other at MASON ST \ NOB HILL PL","Society","C"
"SFO","San Francisco","104759009015","06-01-2021 10:00:00","37.7751608","-122.4036356","BOARDMAN PL \ BRYANT ST","Forgery And Counterfeiting","250","Counterfeiting/Forgery","Counterfeiting/Forgery","Counterfeiting/Forgery at BOARDMAN PL \ BRYANT ST","Property","C"
"SFO","San Francisco","103717071000","06-01-2021 10:00:00","37.7809711","-122.4087087","06TH ST \ MISSION ST","Lost Property","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 06TH ST \ MISSION ST","Person, Property, or Society","C"
"SFO","San Francisco","103575407041","06-01-2021 10:14:00","37.7438833","-122.3831183","MENDELL ST \ CARGO WAY","Recovered Vehicle","90Z","All Other Offenses","All Other Offenses","All Other Offenses at MENDELL ST \ CARGO WAY","Person, Property, or Society","C"
"SFO","San Francisco","103578019090","06-01-2021 10:20:00","37.7999779","-122.4428461","CHESTNUT ST \ DIVISADERO ST","Drunkenness","90E","Drunkenness","Drunkenness","Drunkenness at CHESTNUT ST \ DIVISADERO ST","Society","C"
"SFO","San Francisco","103577506363","06-01-2021 10:20:00","37.7721082","-122.430434","FILLMORE ST \ HAIGHT ST","Larceny Theft - Shoplifting","23C","Larceny/Theft Offenses","Shoplifting","Shoplifting at FILLMORE ST \ HAIGHT ST","Property","C"
"SFO","San Francisco","103575764070","06-01-2021 10:22:00","37.7312317","-122.3877294","KEITH ST \ QUESADA AVE","Suspicious Occ","N/A","Suspicious Activity","Suspicious Activity/All Other","Suspicious Activity/All Other at KEITH ST \ QUESADA AVE","Society","C"
"SFO","San Francisco","103577306224","06-01-2021 10:30:00","37.7670819","-122.4076851","15TH ST \ POTRERO AVE","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at 15TH ST \ POTRERO AVE","Property","C"
"SFO","San Francisco","103579707041","06-01-2021 10:38:00","37.7179026","-122.4786739","BUCARELI DR \ JUAN BAUTISTA CIR","Recovered Vehicle","90Z","All Other Offenses","All Other Offenses","All Other Offenses at BUCARELI DR \ JUAN BAUTISTA CIR","Person, Property, or Society","C"
"SFO","San Francisco","103735305153","06-01-2021 10:40:00","37.7889946","-122.425423","GOUGH ST \ PINE ST","Burglary - Other","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at GOUGH ST \ PINE ST","Property","C"
"SFO","San Francisco","103582604134","06-01-2021 10:45:00","37.7374062","-122.4240402","MISSION ST \ HIGHLAND AVE \ LEESE ST","Simple Assault","13B","Assault Offenses","Simple Assault","Simple Assault at MISSION ST \ HIGHLAND AVE \ LEESE ST","Person","C"
"SFO","San Francisco","103582664085","06-01-2021 10:45:00","37.7374062","-122.4240402","MISSION ST \ HIGHLAND AVE \ LEESE ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at MISSION ST \ HIGHLAND AVE \ LEESE ST","Person, Property, or Society","C"
"SFO","San Francisco","103582615155","06-01-2021 10:45:00","37.7374062","-122.4240402","MISSION ST \ HIGHLAND AVE \ LEESE ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at MISSION ST \ HIGHLAND AVE \ LEESE ST","Person, Property, or Society","C"
"SFO","San Francisco","103576128150","06-01-2021 10:45:00","37.7224652","-122.4364682","LEO ST \ MISSION ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at LEO ST \ MISSION ST","Property","C"
"SFO","San Francisco","103576706244","06-01-2021 10:45:00","37.7744758","-122.4342943","PIERCE ST \ FELL ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at PIERCE ST \ FELL ST","Property","C"
"SFO","San Francisco","103590807021","06-01-2021 11:00:00","37.7660147","-122.4577897","ARGUELLO BLVD \ FREDERICK ST \ LINCOLN WAY","Motor Vehicle Theft","240","Motor Vehicle Theft","Motor Vehicle Theft","Motor Vehicle Theft at ARGUELLO BLVD \ FREDERICK ST \ LINCOLN WAY","Property","C"
"SFO","San Francisco","103590372000","06-01-2021 11:00:00","37.8013037","-122.4245384","VAN NESS AVE \ LOMBARD ST","Non-Criminal","90Z","All Other Offenses","All Other Offenses","All Other Offenses at VAN NESS AVE \ LOMBARD ST","Person, Property, or Society","C"
"SFO","San Francisco","103619506223","06-01-2021 11:00:00","37.7903696","-122.422329","VAN NESS AVE \ CALIFORNIA ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at VAN NESS AVE \ CALIFORNIA ST","Property","C"
"SFO","San Francisco","103813406372","06-01-2021 11:00:00","37.7977162","-122.430559","LAGUNA ST \ UNION ST","Larceny Theft - Other","23H","Larceny/Theft Offenses","All Other Larceny","All Other Larceny at LAGUNA ST \ UNION ST","Property","C"
"SFO","San Francisco","103598807021","06-01-2021 11:00:00","37.7643735","-122.4308822","SANCHEZ ST \ 16TH ST","Motor Vehicle Theft","240","Motor Vehicle Theft","Motor Vehicle Theft","Motor Vehicle Theft at SANCHEZ ST \ 16TH ST","Property","C"
"SFO","San Francisco","103578306244","06-01-2021 11:00:00","37.7858762","-122.4349177","SUTTER ST \ STEINER ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at SUTTER ST \ STEINER ST","Property","C"
"SFO","San Francisco","103598906244","06-01-2021 11:05:00","37.8069629","-122.4104976","STOCKTON ST \ NORTH POINT ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at STOCKTON ST \ NORTH POINT ST","Property","C"
"SFO","San Francisco","103668171000","06-01-2021 11:12:00","37.7251754","-122.4344257","MISSION ST \ HARRINGTON ST","Lost Property","90Z","All Other Offenses","All Other Offenses","All Other Offenses at MISSION ST \ HARRINGTON ST","Person, Property, or Society","C"
"SFO","San Francisco","103575907055","06-01-2021 11:16:00","37.7415802","-122.415074","ANDERSON ST \ POWHATTAN AVE","Motor Vehicle Theft","240","Motor Vehicle Theft","Motor Vehicle Theft","Motor Vehicle Theft at ANDERSON ST \ POWHATTAN AVE","Property","C"
