"city_key","city_name","incident_code","incident_date","incident_latitude","incident_longitude","incident_address","incident_source_original_type","incident_offense_code","incident_offense","incident_offense_description","incident_offense_detail_description","incident_offense_crime_against","incident_offense_action"
"SFO","San Francisco","103666728165","06-02-2021 01:37:00","37.7950436","-122.4072668","WASHINGTON ST \ ROSS ALY","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at WASHINGTON ST \ ROSS ALY","Property","C"
"SFO","San Francisco","103598115161","06-02-2021 01:42:00","37.7578254","-122.4799451","22ND AVE \ LAWTON ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 22ND AVE \ LAWTON ST","Person, Property, or Society","C"
"SFO","San Francisco","103617505051","06-02-2021 02:00:00","37.783352","-122.4209772","VAN NESS AVE \ WILLOW ST","Burglary - Commercial","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at VAN NESS AVE \ WILLOW ST","Property","C"
"SFO","San Francisco","103598205052","06-02-2021 02:37:00","37.7911279","-122.40113","TREASURY PL \ BUSH ST","Burglary - Commercial","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at TREASURY PL \ BUSH ST","Property","C"
"SFO","San Francisco","103598228150","06-02-2021 02:37:00","37.7911279","-122.40113","TREASURY PL \ BUSH ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at TREASURY PL \ BUSH ST","Property","C"
"SFO","San Francisco","103597475000","06-02-2021 03:00:00","37.7405807","-122.4217417","COLERIDGE ST \ CORTLAND AVE","Missing Person","90Z","All Other Offenses","All Other Offenses","All Other Offenses at COLERIDGE ST \ CORTLAND AVE","Person, Property, or Society","C"
"SFO","San Francisco","103673105052","06-02-2021 04:15:00","37.7887457","-122.4236885","AUSTIN ST \ FRANKLIN ST","Burglary - Commercial","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at AUSTIN ST \ FRANKLIN ST","Property","C"
"SFO","San Francisco","103598605052","06-02-2021 04:15:00","37.7887457","-122.4236885","AUSTIN ST \ FRANKLIN ST","Burglary - Commercial","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at AUSTIN ST \ FRANKLIN ST","Property","C"
"SFO","San Francisco","104724406244","06-02-2021 04:30:00","37.7855638","-122.4297826","POST ST \ BUCHANAN ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at POST ST \ BUCHANAN ST","Property","C"
"SFO","San Francisco","103598504134","06-02-2021 04:45:00","37.7817543","-122.4096933","STEVENSON ST \ 06TH ST","Simple Assault","13B","Assault Offenses","Simple Assault","Simple Assault at STEVENSON ST \ 06TH ST","Person","C"
"SFO","San Francisco","103665561030","06-02-2021 05:00:00","37.7881778","-122.4168272","SUTTER ST \ HYDE ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at SUTTER ST \ HYDE ST","Person, Property, or Society","C"
"SFO","San Francisco","103617605051","06-02-2021 05:00:00","37.7845601","-122.4073371","MARKET ST \ POWELL ST","Burglary - Commercial","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at MARKET ST \ POWELL ST","Property","C"
"SFO","San Francisco","104106106234","06-02-2021 06:00:00","37.7664678","-122.3962897","DAGGETT ST \ 16TH ST","Larceny - Auto Parts","23G","Larceny/Theft Offenses","Theft of Motor Vehicle Parts or Accessories","Theft of Motor Vehicle Parts or Accessories at DAGGETT ST \ 16TH ST","Property","C"
"SFO","San Francisco","104650906244","06-02-2021 06:00:00","37.7529167","-122.5064764","47TH AVE \ NORIEGA ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at 47TH AVE \ NORIEGA ST","Property","C"
"SFO","San Francisco","103680606372","06-02-2021 06:30:00","37.7738563","-122.4052859","BRYANT ST \ LANGTON ST","Larceny Theft - Other","23H","Larceny/Theft Offenses","All Other Larceny","All Other Larceny at BRYANT ST \ LANGTON ST","Property","C"
"SFO","San Francisco","103633227195","06-02-2021 06:30:00","37.7564226","-122.4401339","ROMAIN ST \ GRAND VIEW AVE","Trespass","90J","Trespass of Real Property","Trespass of Real Property","Trespass of Real Property at ROMAIN ST \ GRAND VIEW AVE","Society","C"
"SFO","San Francisco","103628972000","06-02-2021 07:15:00","37.7728309","-122.3913736","04TH ST \ MISSION ROCK ST","Non-Criminal","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 04TH ST \ MISSION ROCK ST","Person, Property, or Society","C"
"SFO","San Francisco","103619461030","06-02-2021 07:21:00","37.7843492","-122.4093092","EDDY ST \ MASON ST","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at EDDY ST \ MASON ST","Person, Property, or Society","C"
"SFO","San Francisco","103977805041","06-02-2021 07:30:00","37.7371116","-122.4180973","BENNINGTON ST \ HIGHLAND AVE","Burglary - Residential","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at BENNINGTON ST \ HIGHLAND AVE","Property","C"
"SFO","San Francisco","103618207021","06-02-2021 07:45:00","37.7298381","-122.4002737","BANCROFT AVE \ PHELPS ST","Motor Vehicle Theft","240","Motor Vehicle Theft","Motor Vehicle Theft","Motor Vehicle Theft at BANCROFT AVE \ PHELPS ST","Property","C"
"SFO","San Francisco","103810806244","06-02-2021 07:45:00","37.7591339","-122.4107586","FLORIDA ST \ 20TH ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at FLORIDA ST \ 20TH ST","Property","C"
"SFO","San Francisco","103626368020","06-02-2021 07:51:00","37.7861661","-122.4213734","VAN NESS AVE \ CEDAR ST","Miscellaneous Investigation","90Z","All Other Offenses","All Other Offenses","All Other Offenses at VAN NESS AVE \ CEDAR ST","Person, Property, or Society","C"
"SFO","San Francisco","103625872000","06-02-2021 08:00:00","37.7249882","-122.4430659","SAN JOSE AVE \ SERGEANT JOHN V YOUNG ST","Non-Criminal","90Z","All Other Offenses","All Other Offenses","All Other Offenses at SAN JOSE AVE \ SERGEANT JOHN V YOUNG ST","Person, Property, or Society","C"
"SFO","San Francisco","103744971000","06-02-2021 08:00:00","37.7766929","-122.4758883","BALBOA ST \ 17TH AVE","Lost Property","90Z","All Other Offenses","All Other Offenses","All Other Offenses at BALBOA ST \ 17TH AVE","Person, Property, or Society","C"
"SFO","San Francisco","103619828150","06-02-2021 08:00:00","37.7335339","-122.388482","LANE ST \ OAKDALE AVE","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at LANE ST \ OAKDALE AVE","Property","C"
